Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,laisser,let
11,11,car,because
12,12,aucun,no
13,13,laisse,leash
14,14,eux,them
16,16,chaque,each
17,17,parlé,speak
18,18,arrivé,come
19,19,devrait,should
20,20,bébé,baby
21,21,heures,hours
22,22,pendant,while
23,23,revoir,meet again
24,24,aucune,any
25,25,place,square
27,27,compris,understood
28,28,savais,knew
31,31,voici,here is
36,36,leurs,their
38,38,corps,body
39,39,endroit,place
42,42,écoute,listen
43,43,dont,whose
45,45,premier,first
46,46,perdu,lost
47,47,main,hand
48,48,première,first
50,50,pouvoir,power
51,51,vieux,old
52,52,sois,be
53,53,tiens,here
54,54,matin,morning
55,55,tellement,so much
56,56,enfant,child
58,58,venu,came
59,59,suite,after
60,60,pardon,sorry
61,61,venez,come
62,62,devant,in front of
63,63,vers,towards
64,64,minutes,minutes
65,65,demandé,request
66,66,chambre,bedroom
67,67,mis,placed
68,68,belle,beautiful
69,69,droit,law
71,71,aujourd'hui,today
74,75,espère,hope
75,76,eau,water
76,77,attendez,Wait
77,78,parti,left
78,79,nouvelle,new
79,80,boulot,job
80,81,arrêter,Stop
81,82,dirait,would say
82,83,terre,Earth
83,84,compte,account
84,85,donne,given
85,86,loin,far
86,87,fin,end
88,89,chérie,sweetheart
89,90,gros,large
90,91,plutôt,rather
91,93,filles,girls
93,95,bureau,office
